"name","brand","category","subcategory","gender","price","currency","color","material","sizes","description","product_url","photo_url"
"lace-trim V-neck top","Bimba y Lola","tops","","female","63000","RUB","Brown","","","Bimba y Lola lace-trim V-neck top | Brown | light brown | lace trim | spaghetti straps | V-neck | Lyocell/Viscose | Vests & Tank Tops | Tops | Clothing | Women","https://www.farfetch.com/de/shopping/women/bimba-y-lola-lace-trim-v-neck-top-item-34168718.aspx","https://cdn-images.farfetch-contents.com/34/16/87/18/34168718_65183559_1000.jpg"
"logo-detail jacket","adidas","tops","","female","22000","RUB","Yellow","","","adidas logo-detail jacket | Yellow | yellow | three-stripe design | stand-up collar | zip fastening | ribbed hem and cuffs | Recycled Polyester/Elastane | Oversized Jackets | Jackets | Clothing | Women","https://www.farfetch.com/de/shopping/women/adidas-logo-detail-jacket-item-34518233.aspx","https://cdn-images.farfetch-contents.com/34/51/82/33/34518233_65689488_1000.jpg"
"floral-print silk maxi dress","La DoubleJ","tops","","female","107000","RUB","Yellow","","","La DoubleJ floral-print silk maxi dress | Yellow | light blue/yellow | silk | twill weave | floral print | round neck | rear zip fastening | short sleeves | flared design | ankle-length | straight hem | Silk | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/la-doublej-floral-print-silk-maxi-dress-item-23690705.aspx","https://cdn-images.farfetch-contents.com/23/69/07/05/23690705_53963764_1000.jpg"
"Henrietta floral belted midi dress","alice + olivia","tops","","female","86000","RUB","Black","","","alice + olivia Henrietta floral belted midi dress | Black | black | floral print | belted waist | short sleeves | flared hem | Cotton/Spandex/Elastane | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/alice-olivia-henrietta-floral-belted-midi-dress-item-33909138.aspx","https://cdn-images.farfetch-contents.com/33/90/91/38/33909138_65517033_1000.jpg"
"Vinicia gown dress","Retrofete","tops","","female","163000","RUB","Blue","","","Retrofete Vinicia gown dress | Blue | blue | draped neckline | sleeveless | open back | Acetate/Polyester | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/retrofete-vinicia-gown-dress-item-32016825.aspx","https://cdn-images.farfetch-contents.com/32/01/68/25/32016825_64778555_1000.jpg"
" Nyssa Cloth dress","HAMZA","tops","","female","142000","RUB","White","","","HAMZA  Nyssa Cloth dress | White | off-white | long sleeves | zip fastening | flared hem | gathered detail | fitted waist | Fabric | Cocktail & Party Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/hamza-nyssa-cloth-dress-item-34155332.aspx","https://cdn-images.farfetch-contents.com/34/15/53/32/34155332_65151773_1000.jpg"
"Louise wide-shoulder satin bodysuit","Manière De Voir","tops","","female","29000","RUB","Black","","","Manière De Voir Louise wide-shoulder satin bodysuit | Black | black | satin finish |  | Polyester/Elastane | Bodies | Lingerie & Nightwear | Blouses | Tops | Clothing | Women","https://www.farfetch.com/de/shopping/women/maniere-de-voir-louise-wide-shoulder-satin-bodysuit-item-30919330.aspx","https://cdn-images.farfetch-contents.com/30/91/93/30/30919330_65569998_1000.jpg"
"Maira dress","FARM Rio","tops","","female","101000","RUB","Blue","","","FARM Rio Maira dress | Blue | blue | floral print | V-neck | short sleeves | Cotton/Viscose | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/farm-rio-maira-dress-item-34458277.aspx","https://cdn-images.farfetch-contents.com/34/45/82/77/34458277_65583817_1000.jpg"
"pointelle peplum knit dress","Self-Portrait","tops","","female","128000","RUB","Pink","","","Self-Portrait pointelle peplum knit dress | Pink | pink | pointelle knit | peplum waist | button fastening | collar | Viscose/Polyamide/Polyester | Cocktail & Party Dresses | Evening Dresses | Day Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/self-portrait-pointelle-peplum-knit-dress-item-32873021.aspx","https://cdn-images.farfetch-contents.com/32/87/30/21/32873021_65525190_1000.jpg"
"Maxima puffed sleeve mini dress","Aje","tops","","female","59000","RUB","White","","","Aje Maxima puffed sleeve mini dress | White | white | textured finish | drawstring fastening | puffed sleeves | gathered detail | mini length | Linen/Flax/Viscose/Polyester | Evening Dresses | Dresses | Clothing | Women","https://www.farfetch.com/de/shopping/women/aje-maxima-puffed-sleeve-mini-dress-item-33288063.aspx","https://cdn-images.farfetch-contents.com/33/28/80/63/33288063_66607241_1000.jpg"
